YR,MON,EMI
1927,2,0.0365652
1927,3,-0.116553
1927,4,0.0323261
1927,5,-0.188088
1927,6,0.0330124
1927,7,0.156223
1927,8,0.294056
1927,9,0.118155
1927,10,0.329132
1927,11,-0.00300897
1927,12,0.441219
1928,1,0.412922
1928,2,0.280383
1928,3,0.121501
1928,4,0.255329
1928,5,0.380217
1928,6,0.411616
1928,7,0.333947
1928,8,0.279383
1928,9,0.270482
1928,10,0.278117
1928,11,0.353075
1928,12,0.0671374
1929,1,0.237455
1929,2,0.0525163
1929,3,0.00962927
1929,4,-0.0578182
1929,5,-0.0572837
1929,6,0.0978786
1929,7,0.409045
1929,8,0.243618
1929,9,0.125698
1929,10,0.426266
1929,11,0.325925
1929,12,0.636883
1930,1,0.904502
1930,2,0.795736
1930,3,0.657494
1930,4,0.427633
1930,5,0.120956
1930,6,0.24938
1930,7,0.269393
1930,8,-0.0864557
1930,9,0.356378
1930,10,-0.0808173
1930,11,0.384947
1930,12,0.118552
1931,1,0.0936092
1931,2,0.455348
1931,3,-0.00143385
1931,4,0.132296
1931,5,0.479735
1931,6,0.447295
1931,7,0.189993
1931,8,0.42026
1931,9,-0.0335468
1931,10,-0.07285
1931,11,0.197726
1931,12,-0.124385
1932,1,-0.329079
1932,2,-0.413239
1932,3,-0.0592608
1932,4,-0.17514
1932,5,-0.19407
1932,6,-0.230278
1932,7,-0.279611
1932,8,0.0347018
1932,9,0.212298
1932,10,0.0759024
1932,11,0.215233
1932,12,-0.00850749
1933,1,0.124835
1933,2,-0.139123
1933,3,-0.0805684
1933,4,-0.0305273
1933,5,-0.163645
1933,6,-0.446471
1933,7,-0.0899896
1933,8,-0.376549
1933,9,-0.501885
1933,10,-0.7249
1933,11,-0.511372
1933,12,-0.651165
1934,1,-0.713729
1934,2,-0.417904
1934,3,-0.693997
1934,4,-0.401253
1934,5,-0.261275
1934,6,-0.318692
1934,7,-0.0813306
1934,8,-0.551469
1934,9,-0.448512
1934,10,-0.144371
1934,11,-0.048227
1934,12,0.046242
1935,1,0.127539
1935,2,0.406165
1935,3,-0.0235607
1935,4,-0.399107
1935,5,-0.455346
1935,6,0.0203822
1935,7,0.0296211
1935,8,0.074218
1935,9,0.0789842
1935,10,0.294921
1935,11,0.117176
1935,12,-0.0946479
1936,1,0.446314
1936,2,0.0918101
1936,3,0.12978
1936,4,0.262196
1936,5,0.507522
1936,6,0.110901
1936,7,-0.132611
1936,8,-0.0680968
1936,9,-0.0934148
1936,10,0.0333832
1936,11,-0.149601
1936,12,0.279012
1937,1,-0.202977
1937,2,0.192787
1937,3,0.80868
1937,4,0.134216
1937,5,0.20957
1937,6,-0.116328
1937,7,0.219858
1937,8,0.203947
1937,9,-0.00310787
1937,10,0.160325
1937,11,0.33027
1937,12,-0.00722541
1938,1,0.150905
1938,2,0.247583
1938,3,0.214891
1938,4,0.245991
1938,5,-0.32377
1938,6,-0.0110221
1938,7,0.255749
1938,8,-0.217984
1938,9,0.0535772
1938,10,-0.552967
1938,11,-0.329983
1938,12,0.0741144
1939,1,-0.242873
1939,2,-0.331628
1939,3,-0.0412746
1939,4,0.040517
1939,5,-0.107937
1939,6,-0.1834
1939,7,0.130277
1939,8,-0.196078
1939,9,0.806853
1939,10,-0.36637
1939,11,0.0277187
1939,12,0.16636
1940,1,0.27084
1940,2,0.426891
1940,3,0.453223
1940,4,0.241299
1940,5,0.36132
1940,6,0.526994
1940,7,0.448627
1940,8,0.329813
1940,9,0.0559137
1940,10,0.251782
1940,11,0.545008
1940,12,0.712919
1941,1,0.512199
1941,2,0.305577
1941,3,0.375104
1941,4,0.394284
1941,5,0.496426
1941,6,0.503563
1941,7,0.658783
1941,8,0.476818
1941,9,0.479739
1941,10,0.513268
1941,11,0.448623
1941,12,0.270015
1942,1,0.310207
1942,2,0.496331
1942,3,0.375608
1942,4,0.751925
1942,5,0.1072
1942,6,0.338259
1942,7,0.462744
1942,8,0.285111
1942,9,-0.0311432
1942,10,-0.0637043
1942,11,-0.0855763
1942,12,-0.418697
1943,1,-0.818867
1943,2,-0.594338
1943,3,-0.262987
1943,4,-0.348939
1943,5,-0.239488
1943,6,-0.0339236
1943,7,0.0801484
1943,8,0.295501
1943,9,0.156033
1943,10,-0.433837
1943,11,-0.263036
1943,12,-0.305668
1944,1,-0.0872859
1944,2,-0.11863
1944,3,0.0611065
1944,4,-0.0367017
1944,5,0.147909
1944,6,-0.0805365
1944,7,-0.0190071
1944,8,-0.0834068
1944,9,-0.291653
1944,10,0.0996017
1944,11,0.175604
1944,12,0.0750026
1945,1,-0.164223
1945,2,-0.746085
1945,3,-0.496783
1945,4,-0.726898
1945,5,-0.884068
1945,6,-0.683884
1945,7,-0.574022
1945,8,-0.735935
1945,9,-0.570745
1945,10,-0.523527
1945,11,-0.483807
1945,12,-0.356235
1946,1,0.0370972
1946,2,0.0668639
1946,3,0.022896
1946,4,0.000596508
1946,5,0.241295
1946,6,1.04061
1946,7,0.635221
1946,8,0.464328
1946,9,0.420562
1946,10,0.452987
1946,11,0.482749
1946,12,0.79737
1947,1,0.486447
1947,2,0.303822
1947,3,0.46541
1947,4,0.24481
1947,5,0.0755998
1947,6,0.631199
1947,7,0.150048
1947,8,0.134366
1947,9,-0.270265
1947,10,-0.408795
1947,11,-0.425097
1947,12,0.302987
1948,1,0.301021
1948,2,-0.265937
1948,3,0.164828
1948,4,0.247405
1948,5,0.595354
1948,6,0.835995
1948,7,0.472717
1948,8,0.114801
1948,9,0.343777
1948,10,0.0987113
1948,11,0.117718
1948,12,0.290853
1949,1,0.385918
1949,2,0.579114
1949,3,-0.162336
1949,4,0.0631405
1949,5,0.147952
1949,6,0.0050118
1949,7,0.437563
1949,8,0.406613
1949,9,-0.0688418
1949,10,0.174294
1949,11,-0.366589
1949,12,-0.255013
1950,1,0.17308
1950,2,-0.337965
1950,3,-0.530089
1950,4,-0.183489
1950,5,-0.231457
1950,6,-0.0503518
1950,7,-0.266739
1950,8,-0.473766
1950,9,-0.230192
1950,10,-0.303439
1950,11,-0.402629
1950,12,-0.0595791
1951,1,-0.738862
1951,2,-0.44316
1951,3,-0.256862
1951,4,-0.230724
1951,5,-0.0337907
1951,6,-0.424272
1951,7,-0.355502
1951,8,-0.00810769
1951,9,-0.0280575
1951,10,-0.0365002
1951,11,0.0908158
1951,12,0.140507
1952,1,0.195076
1952,2,-0.02524
1952,3,-0.109545
1952,4,0.47629
1952,5,0.243255
1952,6,0.0136146
1952,7,0.107873
1952,8,0.036469
1952,9,0.400336
1952,10,0.154748
1952,11,0.109761
1952,12,0.0824675
1953,1,0.483226
1953,2,-0.143327
1953,3,0.057222
1953,4,0.198324
1953,5,-0.0578327
1953,6,0.136354
1953,7,0.160533
1953,8,0.0214408
1953,9,0.217739
1953,10,0.115741
1953,11,0.269617
1953,12,-0.00168401
1954,1,0.678333
1954,2,0.34545
1954,3,0.367239
1954,4,0.922618
1954,5,0.786323
1954,6,0.33542
1954,7,0.230825
1954,8,0.0259494
1954,9,0.236012
1954,10,0.271157
1954,11,-0.0924342
1954,12,0.314848
1955,1,-0.192436
1955,2,-0.404645
1955,3,-0.186281
1955,4,-0.307652
1955,5,0.0539176
1955,6,0.140729
1955,7,-0.367398
1955,8,-0.273809
1955,9,-0.211976
1955,10,-0.395947
1955,11,-0.252562
1955,12,-0.274515
1956,1,-0.212518
1956,2,-0.403009
1956,3,-0.507102
1956,4,-0.172416
1956,5,0.0163057
1956,6,-0.286927
1956,7,-0.624755
1956,8,-0.336449
1956,9,-0.261935
1956,10,-0.283238
1956,11,-0.12001
1956,12,0.065526
1957,1,0.346471
1957,2,0.00104437
1957,3,-0.33417
1957,4,0.0405816
1957,5,-0.176922
1957,6,-0.414055
1957,7,-0.438963
1957,8,-0.124738
1957,9,0.13991
1957,10,0.244175
1957,11,0.361734
1957,12,0.330025
1958,1,0.859395
1958,2,0.866065
1958,3,0.698844
1958,4,0.253478
1958,5,0.511852
1958,6,0.351805
1958,7,0.0293089
1958,8,0.293648
1958,9,0.0247025
1958,10,0.28095
1958,11,0.413426
1958,12,0.50185
1959,1,0.641871
1959,2,0.49926
1959,3,0.202588
1959,4,0.350901
1959,5,0.382596
1959,6,0.12505
1959,7,0.14593
1959,8,0.290212
1959,9,0.141423
1959,10,0.2384
1959,11,-0.00869436
1959,12,0.0195677
1960,1,-0.276179
1960,2,-0.286343
1960,3,-0.315914
1960,4,0.148047
1960,5,0.0247463
1960,6,0.07461
1960,7,-0.0619739
1960,8,0.0159765
1960,9,-0.0277317
1960,10,0.315146
1960,11,0.243064
1960,12,0.436268
1961,1,0.155618
1961,2,-0.223271
1961,3,-0.111212
1961,4,-0.247387
1961,5,0.0543494
1961,6,0.152863
1961,7,0.362611
1961,8,0.168869
1961,9,0.400621
1961,10,0.135603
1961,11,0.0933677
1961,12,-0.139337
1962,1,-0.195495
1962,2,0.0591325
1962,3,0.209296
1962,4,0.505027
1962,5,0.0707527
1962,6,0.33325
1962,7,0.0647546
1962,8,-0.00225264
1962,9,-0.0272286
1962,10,0.0391761
1962,11,0.168752
1962,12,0.161345
1963,1,-0.0574786
1963,2,0.224931
1963,3,0.0112106
1963,4,0.221577
1963,5,-0.0817202
1963,6,-0.0372877
1963,7,0.201032
1963,8,0.276146
1963,9,0.238993
1963,10,0.482372
1963,11,0.499282
1963,12,0.303092
1964,1,0.462216
1964,2,0.670134
1964,3,0.248358
1964,4,0.387011
1964,5,0.519086
1964,6,0.0860351
1964,7,-0.0524759
1964,8,-0.0724923
1964,9,-0.640138
1964,10,-0.566961
1964,11,-0.645059
1964,12,-0.394211
1965,1,-0.0599518
1965,2,-0.24913
1965,3,-0.39334
1965,4,-0.455316
1965,5,-0.541146
1965,6,-0.299359
1965,7,0.14904
1965,8,0.180937
1965,9,0.334655
1965,10,0.620255
1965,11,0.556347
1965,12,0.500747
1966,1,0.457158
1966,2,0.59301
1966,3,1.23655
1966,4,0.898183
1966,5,0.898616
1966,6,0.837693
1966,7,0.781886
1966,8,0.582642
1966,9,0.717287
1966,10,0.518569
1966,11,0.448727
1966,12,0.436468
1967,1,0.0615734
1967,2,-0.0248281
1967,3,0.249164
1967,4,0.34422
1967,5,0.503469
1967,6,0.3258
1967,7,0.56428
1967,8,0.544137
1967,9,0.506852
1967,10,0.782641
1967,11,0.808221
1967,12,0.740917
1968,1,0.562523
1968,2,0.634423
1968,3,0.26411
1968,4,0.227665
1968,5,0.281206
1968,6,0.331022
1968,7,0.0151735
1968,8,0.0160992
1968,9,-0.194627
1968,10,0.295554
1968,11,0.666199
1968,12,0.451072
1969,1,1.077
1969,2,1.25479
1969,3,0.548247
1969,4,0.129001
1969,5,-0.134763
1969,6,-0.343229
1969,7,-0.0595333
1969,8,0.292424
1969,9,0.226116
1969,10,-0.0114506
1969,11,0.189019
1969,12,0.051352
1970,1,-0.00593603
1970,2,0.341474
1970,3,0.275153
1970,4,0.28764
1970,5,0.527931
1970,6,0.468998
1970,7,0.53216
1970,8,0.252984
1970,9,0.0106362
1970,10,-0.31446
1970,11,-0.199698
1970,12,-0.525905
1971,1,-0.64491
1971,2,-0.270184
1971,3,-0.477824
1971,4,-0.380845
1971,5,-0.102849
1971,6,-0.0270073
1971,7,-0.170519
1971,8,-0.226231
1971,9,-0.541249
1971,10,-0.129837
1971,11,-0.141975
1971,12,-0.0738588
1972,1,-0.323232
1972,2,-0.210502
1972,3,-0.121565
1972,4,0.104702
1972,5,0.215023
1972,6,-0.0278966
1972,7,-0.209251
1972,8,-0.390628
1972,9,-0.153426
1972,10,0.210387
1972,11,0.051486
1972,12,0.0344241
1973,1,0.306679
1973,2,0.41291
1973,3,0.512231
1973,4,0.282873
1973,5,0.256459
1973,6,-0.107135
1973,7,-0.17858
1973,8,-0.420248
1973,9,-0.606041
1973,10,-0.737188
1973,11,-0.961085
1973,12,-1.17921
1974,1,-0.951317
1974,2,-0.634965
1974,3,-0.681701
1974,4,-0.458025
1974,5,-0.558965
1974,6,-0.483125
1974,7,-0.587267
1974,8,-0.443935
1974,9,-0.473352
1974,10,-0.348471
1974,11,-0.366024
1974,12,-0.215611
1975,1,-0.0519557
1975,2,0.11695
1975,3,-0.36517
1975,4,-0.542072
1975,5,-0.500306
1975,6,-0.356214
1975,7,-0.823562
1975,8,-1.02823
1975,9,-1.17679
1975,10,-1.10208
1975,11,-0.94763
1975,12,-0.821439
1976,1,-0.819114
1976,2,-0.573179
1976,3,-0.252303
1976,4,-0.318318
1976,5,-0.436629
1976,6,-0.498163
1976,7,-0.685609
1976,8,-0.656768
1976,9,-0.157356
1976,10,-0.0761959
1976,11,0.00186887
1976,12,-0.214333
1977,1,-0.148585
1977,2,-0.049984
1977,3,0.00373732
1977,4,0.0506074
1977,5,0.00305854
1977,6,0.130423
1977,7,0.421165
1977,8,0.59531
1977,9,0.752278
1977,10,0.744354
1977,11,0.735228
1977,12,0.91142
1978,1,0.500213
1978,2,0.472414
1978,3,0.218979
1978,4,0.173958
1978,5,0.17885
1978,6,0.00842243
1978,7,-0.0866807
1978,8,0.0611171
1978,9,-0.113508
1978,10,0.00522384
1978,11,-0.0307654
1978,12,-0.213307
